Year,Country,Units,Product,Indicator,Value
2005 ,Slovenia,Thousand tonnes of oil equivalent (TOE),Renewable energies,Primary production,773.9 
2005 ,Slovakia,Thousand tonnes of oil equivalent (TOE),Renewable energies,Primary production,861.0 
2005 ,Turkey,Thousand tonnes of oil equivalent (TOE),Renewable energies,Primary production,10130.6 
2005 ,Ukraine,Thousand tonnes of oil equivalent (TOE),Renewable energies,Primary production,1327.9 
2005 ,United Kingdom,Thousand tonnes of oil equivalent (TOE),Renewable energies,Primary production,3486.4 
2005 ,Kosovo,Thousand tonnes of oil equivalent (TOE),Renewable energies,Primary production,176.2 
2005 ,Albania,Thousand tonnes of oil equivalent (TOE),Hydro power,Primary production,462.0 
2005 ,Austria,Thousand tonnes of oil equivalent (TOE),Hydro power,Primary production,3189.6 
2005 ,Bosnia and Herzegovina,Thousand tonnes of oil equivalent (TOE),Hydro power,Primary production,0.0 
2005 ,Belgium,Thousand tonnes of oil equivalent (TOE),Hydro power,Primary production,24.8 
2005 ,Bulgaria,Thousand tonnes of oil equivalent (TOE),Hydro power,Primary production,372.9 
2005 ,Cyprus,Thousand tonnes of oil equivalent (TOE),Hydro power,Primary production,0.0 
2005 ,Czech Republic,Thousand tonnes of oil equivalent (TOE),Hydro power,Primary production,204.6 
2005 ,Germany,Thousand tonnes of oil equivalent (TOE),Hydro power,Primary production,1688.6 
2005 ,Denmark,Thousand tonnes of oil equivalent (TOE),Hydro power,Primary production,2.0 
2005 ,Estonia,Thousand tonnes of oil equivalent (TOE),Hydro power,Primary production,1.9 
2005 ,Greece,Thousand tonnes of oil equivalent (TOE),Hydro power,Primary production,431.4 
2005 ,Spain,Thousand tonnes of oil equivalent (TOE),Hydro power,Primary production,1581.5 
2005 ,Finland,Thousand tonnes of oil equivalent (TOE),Hydro power,Primary production,1185.2 
2005 ,France,Thousand tonnes of oil equivalent (TOE),Hydro power,Primary production,4426.5 
2005 ,Georgia,Thousand tonnes of oil equivalent (TOE),Hydro power,Primary production,: 
2005 ,Croatia,Thousand tonnes of oil equivalent (TOE),Hydro power,Primary production,605.0 
2005 ,Hungary,Thousand tonnes of oil equivalent (TOE),Hydro power,Primary production,17.4 
2005 ,Ireland,Thousand tonnes of oil equivalent (TOE),Hydro power,Primary production,54.3 
2005 ,Iceland,Thousand tonnes of oil equivalent (TOE),Hydro power,Primary production,603.5 
2005 ,Italy,Thousand tonnes of oil equivalent (TOE),Hydro power,Primary production,3101.2 
2005 ,Lithuania,Thousand tonnes of oil equivalent (TOE),Hydro power,Primary production,38.8 
2005 ,Luxembourg,Thousand tonnes of oil equivalent (TOE),Hydro power,Primary production,8.1 
2005 ,Latvia,Thousand tonnes of oil equivalent (TOE),Hydro power,Primary production,286.0 
2005 ,Moldova,Thousand tonnes of oil equivalent (TOE),Hydro power,Primary production,0.0 
2005 ,Montenegro,Thousand tonnes of oil equivalent (TOE),Hydro power,Primary production,160.4 
2005 ,Macedonia,Thousand tonnes of oil equivalent (TOE),Hydro power,Primary production,128.3 
2005 ,Malta,Thousand tonnes of oil equivalent (TOE),Hydro power,Primary production,0.0 
2005 ,Netherlands,Thousand tonnes of oil equivalent (TOE),Hydro power,Primary production,7.6 
2005 ,Norway,Thousand tonnes of oil equivalent (TOE),Hydro power,Primary production,11667.1 
2005 ,Poland,Thousand tonnes of oil equivalent (TOE),Hydro power,Primary production,189.3 
2005 ,Portugal,Thousand tonnes of oil equivalent (TOE),Hydro power,Primary production,406.8 
2005 ,Romania,Thousand tonnes of oil equivalent (TOE),Hydro power,Primary production,1737.5 
2005 ,Serbia,Thousand tonnes of oil equivalent (TOE),Hydro power,Primary production,1034.6 
2005 ,Sweden,Thousand tonnes of oil equivalent (TOE),Hydro power,Primary production,6259.9 
2005 ,Slovenia,Thousand tonnes of oil equivalent (TOE),Hydro power,Primary production,297.6 
2005 ,Slovakia,Thousand tonnes of oil equivalent (TOE),Hydro power,Primary production,398.8 
2005 ,Turkey,Thousand tonnes of oil equivalent (TOE),Hydro power,Primary production,3401.6 
2005 ,Ukraine,Thousand tonnes of oil equivalent (TOE),Hydro power,Primary production,1063.0 
2005 ,United Kingdom,Thousand tonnes of oil equivalent (TOE),Hydro power,Primary production,423.2 
2005 ,Kosovo,Thousand tonnes of oil equivalent (TOE),Hydro power,Primary production,9.6 
2005 ,Albania,Thousand tonnes of oil equivalent (TOE),Wind power,Primary production,0.0 
2005 ,Austria,Thousand tonnes of oil equivalent (TOE),Wind power,Primary production,114.4 
2005 ,Bosnia and Herzegovina,Thousand tonnes of oil equivalent (TOE),Wind power,Primary production,0.0 
2005 ,Belgium,Thousand tonnes of oil equivalent (TOE),Wind power,Primary production,19.5 
2005 ,Bulgaria,Thousand tonnes of oil equivalent (TOE),Wind power,Primary production,0.4 
2005 ,Cyprus,Thousand tonnes of oil equivalent (TOE),Wind power,Primary production,0.0 
2005 ,Czech Republic,Thousand tonnes of oil equivalent (TOE),Wind power,Primary production,1.8 
2005 ,Germany,Thousand tonnes of oil equivalent (TOE),Wind power,Primary production,2341.3 
2005 ,Denmark,Thousand tonnes of oil equivalent (TOE),Wind power,Primary production,568.7 
2005 ,Estonia,Thousand tonnes of oil equivalent (TOE),Wind power,Primary production,4.6 
2005 ,Greece,Thousand tonnes of oil equivalent (TOE),Wind power,Primary production,108.9 
2005 ,Spain,Thousand tonnes of oil equivalent (TOE),Wind power,Primary production,1820.8 
2005 ,Finland,Thousand tonnes of oil equivalent (TOE),Wind power,Primary production,14.6 
2005 ,France,Thousand tonnes of oil equivalent (TOE),Wind power,Primary production,82.7 
2005 ,Georgia,Thousand tonnes of oil equivalent (TOE),Wind power,Primary production,: 
2005 ,Croatia,Thousand tonnes of oil equivalent (TOE),Wind power,Primary production,0.9 
2005 ,Hungary,Thousand tonnes of oil equivalent (TOE),Wind power,Primary production,0.9 
2005 ,Ireland,Thousand tonnes of oil equivalent (TOE),Wind power,Primary production,95.6 
2005 ,Iceland,Thousand tonnes of oil equivalent (TOE),Wind power,Primary production,0.0 
2005 ,Italy,Thousand tonnes of oil equivalent (TOE),Wind power,Primary production,201.5 
2005 ,Lithuania,Thousand tonnes of oil equivalent (TOE),Wind power,Primary production,0.2 
2005 ,Luxembourg,Thousand tonnes of oil equivalent (TOE),Wind power,Primary production,4.5 
2005 ,Latvia,Thousand tonnes of oil equivalent (TOE),Wind power,Primary production,4.0 
2005 ,Moldova,Thousand tonnes of oil equivalent (TOE),Wind power,Primary production,0.0 
2005 ,Montenegro,Thousand tonnes of oil equivalent (TOE),Wind power,Primary production,0.0 
2005 ,Macedonia,Thousand tonnes of oil equivalent (TOE),Wind power,Primary production,0.0 
2005 ,Malta,Thousand tonnes of oil equivalent (TOE),Wind power,Primary production,0.0 
2005 ,Netherlands,Thousand tonnes of oil equivalent (TOE),Wind power,Primary production,177.7 
2005 ,Norway,Thousand tonnes of oil equivalent (TOE),Wind power,Primary production,42.9 
2005 ,Poland,Thousand tonnes of oil equivalent (TOE),Wind power,Primary production,11.6 
2005 ,Portugal,Thousand tonnes of oil equivalent (TOE),Wind power,Primary production,152.5 
2005 ,Romania,Thousand tonnes of oil equivalent (TOE),Wind power,Primary production,0.0 
2005 ,Serbia,Thousand tonnes of oil equivalent (TOE),Wind power,Primary production,0.0 
2005 ,Sweden,Thousand tonnes of oil equivalent (TOE),Wind power,Primary production,80.5 
2005 ,Slovenia,Thousand tonnes of oil equivalent (TOE),Wind power,Primary production,0.0 
2005 ,Slovakia,Thousand tonnes of oil equivalent (TOE),Wind power,Primary production,0.5 
2005 ,Turkey,Thousand tonnes of oil equivalent (TOE),Wind power,Primary production,5.1 
2005 ,Ukraine,Thousand tonnes of oil equivalent (TOE),Wind power,Primary production,3.3 
2005 ,United Kingdom,Thousand tonnes of oil equivalent (TOE),Wind power,Primary production,249.7 
2005 ,Kosovo,Thousand tonnes of oil equivalent (TOE),Wind power,Primary production,0.0 
2005 ,Albania,Thousand tonnes of oil equivalent (TOE),Solar thermal,Primary production,2.3 
2005 ,Austria,Thousand tonnes of oil equivalent (TOE),Solar thermal,Primary production,88.5 
2005 ,Bosnia and Herzegovina,Thousand tonnes of oil equivalent (TOE),Solar thermal,Primary production,0.0 
2005 ,Belgium,Thousand tonnes of oil equivalent (TOE),Solar thermal,Primary production,2.7 
2005 ,Bulgaria,Thousand tonnes of oil equivalent (TOE),Solar thermal,Primary production,0.0 
2005 ,Cyprus,Thousand tonnes of oil equivalent (TOE),Solar thermal,Primary production,41.3 
2005 ,Czech Republic,Thousand tonnes of oil equivalent (TOE),Solar thermal,Primary production,2.5 
2005 ,Germany,Thousand tonnes of oil equivalent (TOE),Solar thermal,Primary production,260.5 
2005 ,Denmark,Thousand tonnes of oil equivalent (TOE),Solar thermal,Primary production,10.0 
2005 ,Estonia,Thousand tonnes of oil equivalent (TOE),Solar thermal,Primary production,0.0 
2005 ,Greece,Thousand tonnes of oil equivalent (TOE),Solar thermal,Primary production,100.9 
2005 ,Spain,Thousand tonnes of oil equivalent (TOE),Solar thermal,Primary production,61.4 
2005 ,Finland,Thousand tonnes of oil equivalent (TOE),Solar thermal,Primary production,0.5 
2005 ,France,Thousand tonnes of oil equivalent (TOE),Solar thermal,Primary production,24.7 
2005 ,Georgia,Thousand tonnes of oil equivalent (TOE),Solar thermal,Primary production,: 
2005 ,Croatia,Thousand tonnes of oil equivalent (TOE),Solar thermal,Primary production,2.3 
2005 ,Hungary,Thousand tonnes of oil equivalent (TOE),Solar thermal,Primary production,1.9 
2005 ,Ireland,Thousand tonnes of oil equivalent (TOE),Solar thermal,Primary production,0.5 
2005 ,Iceland,Thousand tonnes of oil equivalent (TOE),Solar thermal,Primary production,0.0 
2005 ,Italy,Thousand tonnes of oil equivalent (TOE),Solar thermal,Primary production,27.3 
2005 ,Lithuania,Thousand tonnes of oil equivalent (TOE),Solar thermal,Primary production,0.0 
2005 ,Luxembourg,Thousand tonnes of oil equivalent (TOE),Solar thermal,Primary production,0.2 
2005 ,Latvia,Thousand tonnes of oil equivalent (TOE),Solar thermal,Primary production,0.0 
2005 ,Moldova,Thousand tonnes of oil equivalent (TOE),Solar thermal,Primary production,0.0 
2005 ,Montenegro,Thousand tonnes of oil equivalent (TOE),Solar thermal,Primary production,0.0 
2005 ,Macedonia,Thousand tonnes of oil equivalent (TOE),Solar thermal,Primary production,0.0 
2005 ,Malta,Thousand tonnes of oil equivalent (TOE),Solar thermal,Primary production,0.5 
2005 ,Netherlands,Thousand tonnes of oil equivalent (TOE),Solar thermal,Primary production,17.2 
2005 ,Norway,Thousand tonnes of oil equivalent (TOE),Solar thermal,Primary production,0.0 
2005 ,Poland,Thousand tonnes of oil equivalent (TOE),Solar thermal,Primary production,0.1 
2005 ,Portugal,Thousand tonnes of oil equivalent (TOE),Solar thermal,Primary production,22.4 
2005 ,Romania,Thousand tonnes of oil equivalent (TOE),Solar thermal,Primary production,0.0 
2005 ,Serbia,Thousand tonnes of oil equivalent (TOE),Solar thermal,Primary production,0.0 
2005 ,Sweden,Thousand tonnes of oil equivalent (TOE),Solar thermal,Primary production,5.9 
2005 ,Slovenia,Thousand tonnes of oil equivalent (TOE),Solar thermal,Primary production,0.0 
2005 ,Slovakia,Thousand tonnes of oil equivalent (TOE),Solar thermal,Primary production,0.0 
2005 ,Turkey,Thousand tonnes of oil equivalent (TOE),Solar thermal,Primary production,384.8 
2005 ,Ukraine,Thousand tonnes of oil equivalent (TOE),Solar thermal,Primary production,0.0 
2005 ,United Kingdom,Thousand tonnes of oil equivalent (TOE),Solar thermal,Primary production,29.4 
2005 ,Kosovo,Thousand tonnes of oil equivalent (TOE),Solar thermal,Primary production,0.2 
2005 ,Albania,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Primary production,0.0 
2005 ,Austria,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Primary production,1.8 
2005 ,Bosnia and Herzegovina,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Primary production,0.0 
2005 ,Belgium,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Primary production,0.1 
2005 ,Bulgaria,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Primary production,0.0 
2005 ,Cyprus,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Primary production,0.0 
2005 ,Czech Republic,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Primary production,0.0 
2005 ,Germany,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Primary production,110.3 
2005 ,Denmark,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Primary production,0.2 
2005 ,Estonia,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Primary production,0.0 
2005 ,Greece,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Primary production,0.1 
2005 ,Spain,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Primary production,3.5 
2005 ,Finland,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Primary production,0.2 
2005 ,France,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Primary production,0.9 
2005 ,Georgia,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Primary production,: 
2005 ,Croatia,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Primary production,0.0 
2005 ,Hungary,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Primary production,0.0 
2005 ,Ireland,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Primary production,0.0 
2005 ,Iceland,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Primary production,0.0 
2005 ,Italy,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Primary production,2.7 
2005 ,Lithuania,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Primary production,0.0 
2005 ,Luxembourg,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Primary production,1.5 
2005 ,Latvia,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Primary production,0.0 
2005 ,Moldova,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Primary production,0.0 
2005 ,Montenegro,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Primary production,0.0 
2005 ,Macedonia,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Primary production,0.0 
2005 ,Malta,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Primary production,0.0 
2005 ,Netherlands,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Primary production,3.0 
2005 ,Norway,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Primary production,0.0 
2005 ,Poland,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Primary production,0.0 
2005 ,Portugal,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Primary production,0.3 
2005 ,Romania,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Primary production,0.0 
2005 ,Serbia,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Primary production,0.0 
2005 ,Sweden,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Primary production,0.2 
2005 ,Slovenia,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Primary production,0.0 
2005 ,Slovakia,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Primary production,0.0 
2005 ,Turkey,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Primary production,0.0 
2005 ,Ukraine,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Primary production,0.0 
2005 ,United Kingdom,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Primary production,0.7 
2005 ,Kosovo,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Primary production,0.0 
2005 ,Albania,Thousand tonnes of oil equivalent (TOE),"Tide, Wave and Ocean",Primary production,0.0 
2005 ,Austria,Thousand tonnes of oil equivalent (TOE),"Tide, Wave and Ocean",Primary production,0.0 
2005 ,Bosnia and Herzegovina,Thousand tonnes of oil equivalent (TOE),"Tide, Wave and Ocean",Primary production,0.0 
2005 ,Belgium,Thousand tonnes of oil equivalent (TOE),"Tide, Wave and Ocean",Primary production,0.0 
2005 ,Bulgaria,Thousand tonnes of oil equivalent (TOE),"Tide, Wave and Ocean",Primary production,0.0 
2005 ,Cyprus,Thousand tonnes of oil equivalent (TOE),"Tide, Wave and Ocean",Primary production,0.0 
2005 ,Czech Republic,Thousand tonnes of oil equivalent (TOE),"Tide, Wave and Ocean",Primary production,0.0 
2005 ,Germany,Thousand tonnes of oil equivalent (TOE),"Tide, Wave and Ocean",Primary production,0.0 
2005 ,Denmark,Thousand tonnes of oil equivalent (TOE),"Tide, Wave and Ocean",Primary production,0.0 
2005 ,Estonia,Thousand tonnes of oil equivalent (TOE),"Tide, Wave and Ocean",Primary production,0.0 
2005 ,Greece,Thousand tonnes of oil equivalent (TOE),"Tide, Wave and Ocean",Primary production,0.0 
2005 ,Spain,Thousand tonnes of oil equivalent (TOE),"Tide, Wave and Ocean",Primary production,0.0 
2005 ,Finland,Thousand tonnes of oil equivalent (TOE),"Tide, Wave and Ocean",Primary production,0.0 
2005 ,France,Thousand tonnes of oil equivalent (TOE),"Tide, Wave and Ocean",Primary production,41.4 
2005 ,Georgia,Thousand tonnes of oil equivalent (TOE),"Tide, Wave and Ocean",Primary production,: 
2005 ,Croatia,Thousand tonnes of oil equivalent (TOE),"Tide, Wave and Ocean",Primary production,0.0 
2005 ,Hungary,Thousand tonnes of oil equivalent (TOE),"Tide, Wave and Ocean",Primary production,0.0 
2005 ,Ireland,Thousand tonnes of oil equivalent (TOE),"Tide, Wave and Ocean",Primary production,0.0 
2005 ,Iceland,Thousand tonnes of oil equivalent (TOE),"Tide, Wave and Ocean",Primary production,0.0 
2005 ,Italy,Thousand tonnes of oil equivalent (TOE),"Tide, Wave and Ocean",Primary production,0.0 
2005 ,Lithuania,Thousand tonnes of oil equivalent (TOE),"Tide, Wave and Ocean",Primary production,0.0 
2005 ,Luxembourg,Thousand tonnes of oil equivalent (TOE),"Tide, Wave and Ocean",Primary production,0.0 
2005 ,Latvia,Thousand tonnes of oil equivalent (TOE),"Tide, Wave and Ocean",Primary production,0.0 
2005 ,Moldova,Thousand tonnes of oil equivalent (TOE),"Tide, Wave and Ocean",Primary production,0.0 
2005 ,Montenegro,Thousand tonnes of oil equivalent (TOE),"Tide, Wave and Ocean",Primary production,0.0 
2005 ,Macedonia,Thousand tonnes of oil equivalent (TOE),"Tide, Wave and Ocean",Primary production,0.0 
2005 ,Malta,Thousand tonnes of oil equivalent (TOE),"Tide, Wave and Ocean",Primary production,0.0 
2005 ,Netherlands,Thousand tonnes of oil equivalent (TOE),"Tide, Wave and Ocean",Primary production,0.0 
2005 ,Norway,Thousand tonnes of oil equivalent (TOE),"Tide, Wave and Ocean",Primary production,0.0 
2005 ,Poland,Thousand tonnes of oil equivalent (TOE),"Tide, Wave and Ocean",Primary production,0.0 
2005 ,Portugal,Thousand tonnes of oil equivalent (TOE),"Tide, Wave and Ocean",Primary production,0.0 
2005 ,Romania,Thousand tonnes of oil equivalent (TOE),"Tide, Wave and Ocean",Primary production,0.0 
2005 ,Serbia,Thousand tonnes of oil equivalent (TOE),"Tide, Wave and Ocean",Primary production,0.0 
2005 ,Sweden,Thousand tonnes of oil equivalent (TOE),"Tide, Wave and Ocean",Primary production,0.0 
2005 ,Slovenia,Thousand tonnes of oil equivalent (TOE),"Tide, Wave and Ocean",Primary production,0.0 
2005 ,Slovakia,Thousand tonnes of oil equivalent (TOE),"Tide, Wave and Ocean",Primary production,0.0 
2005 ,Turkey,Thousand tonnes of oil equivalent (TOE),"Tide, Wave and Ocean",Primary production,0.0 
2005 ,Ukraine,Thousand tonnes of oil equivalent (TOE),"Tide, Wave and Ocean",Primary production,0.0 
2005 ,United Kingdom,Thousand tonnes of oil equivalent (TOE),"Tide, Wave and Ocean",Primary production,0.0 
2005 ,Kosovo,Thousand tonnes of oil equivalent (TOE),"Tide, Wave and Ocean",Primary production,0.0 
2005 ,Albania,Thousand tonnes of oil equivalent (TOE),Solid biofuels (excluding charcoal),Primary production,230.0 
2005 ,Austria,Thousand tonnes of oil equivalent (TOE),Solid biofuels (excluding charcoal),Primary production,3340.8 
2005 ,Bosnia and Herzegovina,Thousand tonnes of oil equivalent (TOE),Solid biofuels (excluding charcoal),Primary production,0.0 
2005 ,Belgium,Thousand tonnes of oil equivalent (TOE),Solid biofuels (excluding charcoal),Primary production,527.9 
2005 ,Bulgaria,Thousand tonnes of oil equivalent (TOE),Solid biofuels (excluding charcoal),Primary production,717.7 
2005 ,Cyprus,Thousand tonnes of oil equivalent (TOE),Solid biofuels (excluding charcoal),Primary production,6.4 
2005 ,Czech Republic,Thousand tonnes of oil equivalent (TOE),Solid biofuels (excluding charcoal),Primary production,1841.2 
2005 ,Germany,Thousand tonnes of oil equivalent (TOE),Solid biofuels (excluding charcoal),Primary production,7975.5 
2005 ,Denmark,Thousand tonnes of oil equivalent (TOE),Solid biofuels (excluding charcoal),Primary production,1260.1 
2005 ,Estonia,Thousand tonnes of oil equivalent (TOE),Solid biofuels (excluding charcoal),Primary production,682.1 
2005 ,Greece,Thousand tonnes of oil equivalent (TOE),Solid biofuels (excluding charcoal),Primary production,956.9 
2005 ,Spain,Thousand tonnes of oil equivalent (TOE),Solid biofuels (excluding charcoal),Primary production,4176.0 
2005 ,Finland,Thousand tonnes of oil equivalent (TOE),Solid biofuels (excluding charcoal),Primary production,6808.5 
2005 ,France,Thousand tonnes of oil equivalent (TOE),Solid biofuels (excluding charcoal),Primary production,9078.9 
2005 ,Georgia,Thousand tonnes of oil equivalent (TOE),Solid biofuels (excluding charcoal),Primary production,: 
2005 ,Croatia,Thousand tonnes of oil equivalent (TOE),Solid biofuels (excluding charcoal),Primary production,1243.9 
2005 ,Hungary,Thousand tonnes of oil equivalent (TOE),Solid biofuels (excluding charcoal),Primary production,1540.2 
2005 ,Ireland,Thousand tonnes of oil equivalent (TOE),Solid biofuels (excluding charcoal),Primary production,180.4 
2005 ,Iceland,Thousand tonnes of oil equivalent (TOE),Solid biofuels (excluding charcoal),Primary production,0.0 
2005 ,Italy,Thousand tonnes of oil equivalent (TOE),Solid biofuels (excluding charcoal),Primary production,4148.4 
2005 ,Lithuania,Thousand tonnes of oil equivalent (TOE),Solid biofuels (excluding charcoal),Primary production,845.3 
2005 ,Luxembourg,Thousand tonnes of oil equivalent (TOE),Solid biofuels (excluding charcoal),Primary production,40.0 
2005 ,Latvia,Thousand tonnes of oil equivalent (TOE),Solid biofuels (excluding charcoal),Primary production,1553.7 
2005 ,Moldova,Thousand tonnes of oil equivalent (TOE),Solid biofuels (excluding charcoal),Primary production,0.0 
2005 ,Montenegro,Thousand tonnes of oil equivalent (TOE),Solid biofuels (excluding charcoal),Primary production,145.6 
2005 ,Macedonia,Thousand tonnes of oil equivalent (TOE),Solid biofuels (excluding charcoal),Primary production,204.8 
2005 ,Malta,Thousand tonnes of oil equivalent (TOE),Solid biofuels (excluding charcoal),Primary production,0.0 
2005 ,Netherlands,Thousand tonnes of oil equivalent (TOE),Solid biofuels (excluding charcoal),Primary production,938.5 
2005 ,Norway,Thousand tonnes of oil equivalent (TOE),Solid biofuels (excluding charcoal),Primary production,1119.1 
2005 ,Poland,Thousand tonnes of oil equivalent (TOE),Solid biofuels (excluding charcoal),Primary production,4166.2 
2005 ,Portugal,Thousand tonnes of oil equivalent (TOE),Solid biofuels (excluding charcoal),Primary production,2713.3 
2005 ,Romania,Thousand tonnes of oil equivalent (TOE),Solid biofuels (excluding charcoal),Primary production,3228.9 
2005 ,Serbia,Thousand tonnes of oil equivalent (TOE),Solid biofuels (excluding charcoal),Primary production,902.8 
2005 ,Sweden,Thousand tonnes of oil equivalent (TOE),Solid biofuels (excluding charcoal),Primary production,7936.6 
2005 ,Slovenia,Thousand tonnes of oil equivalent (TOE),Solid biofuels (excluding charcoal),Primary production,469.5 
2005 ,Slovakia,Thousand tonnes of oil equivalent (TOE),Solid biofuels (excluding charcoal),Primary production,397.8 
2005 ,Turkey,Thousand tonnes of oil equivalent (TOE),Solid biofuels (excluding charcoal),Primary production,5325.0 
2005 ,Ukraine,Thousand tonnes of oil equivalent (TOE),Solid biofuels (excluding charcoal),Primary production,261.6 
2005 ,United Kingdom,Thousand tonnes of oil equivalent (TOE),Solid biofuels (excluding charcoal),Primary production,982.2 
2005 ,Kosovo,Thousand tonnes of oil equivalent (TOE),Solid biofuels (excluding charcoal),Primary production,166.4 
